# Rime user dictionary
#@/db_name	luna_pinyin_extend
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	527
#@/user_id	MatebookE
a 	啊	c=14 d=5.58901 t=514
ba 	吧	c=11 d=5.88825 t=484
ba 	把	c=6 d=3.8125 t=410
ba gu wen 	八股文	c=1 d=1 t=109
bi 	比	c=1 d=1 t=333
bi ni 	比你	c=1 d=1 t=348
bi ru 	比如	c=1 d=1 t=89
bi ta 	比他	c=1 d=1 t=179
bian tai 	變態	c=2 d=1.94176 t=180
biao da shi 	表達式	c=0 d=0.1 t=6
biao shi 	表示	c=1 d=1 t=204
biao xian 	表現	c=0 d=0.1 t=181
bu 	不	c=3 d=2.47959 t=233
bu bao han 	不包含	c=1 d=1 t=8
bu biao xian 	不表現	c=1 d=1 t=182
bu da 	不大	c=1 d=1 t=479
bu dao 	不到	c=1 d=1 t=229
bu duo 	不多	c=0 d=0.1 t=514
bu guan 	不管	c=1 d=1 t=263
bu guo 	不過	c=1 d=1 t=166
bu lai 	不來	c=0 d=0.1 t=63
bu neng 	不能	c=1 d=1.03182 t=474
bu neng nong 	不能弄	c=1 d=1 t=246
bu qi 	不起	c=1 d=1 t=351
bu shi 	不是	c=4 d=1.56065 t=455
bu suan 	不算	c=2 d=1.35345 t=357
bu tai 	不太	c=1 d=1.09418 t=441
bu tai xiang 	不太像	c=1 d=1 t=321
bu xia qu 	不下去	c=0 d=0.1 t=357
bu yao 	不要	c=1 d=1 t=210
bu yi ding 	不一定	c=1 d=1 t=260
bu yong le 	不用了	c=1 d=1 t=50
bu zhi dao 	不知道	c=1 d=1 t=438
cha cha 	查查	c=1 d=1 t=383
cha de 	查的	c=1 d=1 t=385
cha dian 	差點	c=1 d=1 t=126
chu lai 	出來	c=1 d=1 t=183
chuan shu 	傳輸	c=1 d=1 t=151
cong 	從	c=1 d=1 t=27
cun 	村	c=1 d=1 t=339
da 	大	c=1 d=1 t=523
da dao 	達到	c=1 d=1 t=107
da gai 	大概	c=0 d=0.1 t=396
da jian 	搭建	c=1 d=1 t=488
dai biao 	代表	c=1 d=1 t=336
dai li 	代理	c=3 d=2.4261 t=510
dan bu 	但不	c=0 d=0.1 t=363
dan bu duo 	但不多	c=1 d=1 t=364
dan shi 	但是	c=6 d=3.39113 t=481
dao bu liao 	到不了	c=1 d=1 t=422
dao di 	到底	c=2 d=2.057 t=205
dao fa 	道法	c=1 d=1 t=335
de 	的	c=25 d=11.4695 t=521
de hua 	的話	c=1 d=1 t=153
dei 	得	c=1 d=1 t=487
deng xia 	等下	c=1 d=1 t=266
di 	底	c=0 d=0.1 t=489
di jiu 	第九	c=1 d=1 t=340
di san ji 	第三季	c=1 d=1 t=503
di yi 	第一	c=1 d=1 t=522
dian 	顛	c=1 d=1 t=38
dian hua 	電話	c=1 d=1 t=124
dian ya 	電壓	c=1 d=1 t=114
dou 	都	c=4 d=2.93002 t=306
dou shi 	都是	c=0 d=0.1 t=275
dou zai 	都在	c=1 d=1 t=142
duo 	多	c=0 d=0.1 t=363
duo shao ren 	多少人	c=1 d=1 t=456
e 	呃	c=3 d=1.76825 t=328
en 	恩	c=1 d=1 t=394
en heng 	嗯哼	c=2 d=1.81465 t=81
er yi 	而已	c=3 d=1.61983 t=454
fa zhi 	法制	c=1 d=1 t=337
fan 	番	c=1 d=1 t=504
fan cha 	反查	c=1 d=1 t=526
fan zheng 	反正	c=2 d=1.17728 t=431
fang 	放	c=2 d=1.82283 t=471
fang an 	方案	c=2 d=1.97045 t=110
fang fa 	方法	c=1 d=1 t=18
fang jia 	放假	c=2 d=1.79057 t=467
fu zhu 	腐竹	c=1 d=1 t=359
gai 	改	c=1 d=1 t=286
gan 	敢	c=1 d=1 t=140
gang cai 	剛纔	c=1 d=1 t=120
ge 	個	c=1 d=1.05741 t=154
gei ta 	給他	c=1 d=1 t=32
geng xin 	更新	c=1 d=1.02725 t=507
geng xin le 	更新了	c=1 d=1 t=248
gong tong 	共同	c=1 d=1 t=171
gou 	勾	c=1 d=1 t=307
gou shang 	勾上	c=1 d=1 t=303
gu ge 	谷歌	c=1 d=1 t=496
guan de 	管得	c=2 d=1.99005 t=332
guan li 	管理	c=2 d=1.44486 t=505
guan zhu dian 	關注點	c=1 d=1 t=139
guo 	過	c=1 d=1 t=33
guo lai 	過來	c=1 d=1 t=125
guo ran 	果然	c=1 d=1 t=520
hai 	還	c=1 d=1 t=174
hai hao ba 	還好吧	c=1 d=1 t=91
hai shi 	還是	c=2 d=1.86936 t=130
han liu jia bei 	汗流浹背	c=1 d=1 t=47
han yu pin yin 	漢語拼音	c=1 d=1 t=2
hao 	好	c=1 d=1 t=374
hao hao hao 	好好好	c=3 d=2.21373 t=207
hao kuai 	好快	c=1 d=1 t=226
hao le 	好了	c=1 d=0.890571 t=291
hao nan 	好難	c=1 d=1 t=78
hao ren 	好人	c=1 d=1 t=284
hao ting 	好聽	c=1 d=1 t=57
hao xiang 	好像	c=1 d=1 t=369
hao ye 	好耶	c=1 d=1 t=247
hao you 	好友	c=1 d=1 t=268
hou 	後	c=1 d=1 t=99
hou bian 	後邊	c=0 d=0.1 t=121
hou mian 	後面	c=1 d=1 t=9
hua ti 	話題	c=1 d=1 t=172
hui 	回	c=3 d=2.82424 t=445
hui lao jia 	回老家	c=1 d=1 t=409
hui qu 	回去	c=1 d=1 t=448
hui tian jin 	回天津	c=1 d=1 t=434
huo zhe 	或者	c=1 d=1 t=378
jia 	家	c=2 d=1.7788 t=452
jia le 	加了	c=0 d=0.1 t=85
jia qi 	假期	c=2 d=1.83527 t=261
jia wo 	加我	c=0 d=0.1 t=266
jiao 	叫	c=1 d=1 t=58
jiao cheng 	教程	c=2 d=1.07966 t=511
jie mi 	解密	c=1 d=1 t=301
jie zhe 	接着	c=2 d=1.45158 t=476
jin lai 	進來	c=1 d=1 t=148
jiu 	就	c=3 d=1.88151 t=469
jiu bu shi 	就不是	c=1 d=1 t=283
jiu neng yong 	就能用	c=1 d=1 t=318
jiu shi 	就是	c=2 d=1.31349 t=435
jiu yao 	就要	c=1 d=1 t=230
ju ti 	具體	c=1 d=1 t=116
jue se 	角色	c=0 d=0.1 t=524
kan 	看	c=1 d=1 t=187
kan de 	看的	c=1 d=0.193949 t=514
kan de bu duo 	看的不多	c=1 d=1 t=515
kan kan 	看看	c=1 d=1 t=309
kan le 	砍了	c=1 d=1 t=323
kao 	考	c=3 d=1.57304 t=491
kao wan 	考完	c=2 d=1.96561 t=475
ke 	可	c=2 d=1.41478 t=361
ke neng 	可能	c=3 d=2.2667 t=304
ke ting 	客廳	c=1 d=1 t=143
ke yi 	可以	c=2 d=1.74453 t=386
la 	啦	c=1 d=1 t=251
lai de 	來的	c=1 d=1 t=30
lao lao 	姥姥	c=1 d=1 t=451
le 	了	c=15 d=6.44887 t=472
leng jing 	冷靜	c=1 d=1 t=136
li jie 	理解	c=1 d=1 t=206
liang 	晾	c=1 d=1 t=131
liang ge 	兩個	c=1 d=1 t=159
liao 	聊	c=1 d=1 t=279
liu 	留	c=1 d=1 t=273
liu yue 	六月	c=0 d=0.1 t=489
liu yue di 	六月底	c=1 d=1 t=490
liu zhan 	柳湛	c=1 d=1 t=401
ma 	嗎	c=1 d=1 t=34
ma 	嘛	c=5 d=3.05417 t=352
ma 	媽	c=0 d=0.1 t=140
ma mi 	媽咪	c=1 d=1 t=45
mei 	每	c=1 d=1 t=485
mei ban fa 	沒辦法	c=0 d=0.1 t=86
mei gei wo 	沒給我	c=1 d=1 t=127
mei guan xi 	沒關係	c=1 d=1 t=71
mei shi 	沒事	c=3 d=2.8429 t=53
miao 	秒	c=1 d=1 t=269
mo gai 	魔改	c=1 d=1 t=391
na 	哪	c=4 d=1.86959 t=458
na 	那	c=2 d=1.54064 t=238
na jiao 	那叫	c=1 d=1 t=235
na le 	哪了	c=1 d=1 t=195
na shi 	那是	c=2 d=1.36604 t=465
na you 	哪有	c=1 d=1 t=196
nai cha 	奶茶	c=2 d=1.99501 t=502
nan de 	男的	c=1 d=1 t=73
ne 	呢	c=1 d=1 t=90
neng bu neng 	能不能	c=1 d=1 t=200
ni 	你	c=6 d=2.58921 t=396
ni 	妳	c=-1 d=0 t=117
ni da gai 	你大概	c=1 d=1 t=397
ni de 	你的	c=2 d=1.30575 t=375
ni hao 	你好	c=2 d=1.97531 t=19
ni jia wo 	你加我	c=1 d=1 t=267
ni kan 	你看	c=1 d=1 t=55
ni ke yi 	你可以	c=1 d=1 t=480
ni wen 	你問	c=0 d=0.1 t=71
ni wen ba 	你問吧	c=1 d=1 t=72
ni xiang 	你想	c=1 d=1 t=278
