一个	yi2'ge4
一了	yi4'liao3
一令	yi4'ling2
一会	yi2'hui4
一会	yi4'hui3
一分	yi4'fen1
一切	yi2'qie4
一刬	yi2'chan4
一发	yi2'fa4
一发	yi4'fa3
一句	yi2'ju4
一听	yi2'ting4
一和	yi1'he2
一地	yi2'di4
一垛	yi2'duo4
一处	yi2'chu4
一夕	yi2'xi4
一夕	yi4'xi1
一头	yi4'tou2
一宿	yi4'xiu3
一干	yi4'gan1
一应	yi4'ying1
一度	yi2'du4
一得	yi4'de2
一怔	yi2'leng4
一息	yi4'xi1
一息	yi4'xi2
一打	yi4'da2
一扠	yi4'zha3
一扫	yi4'sao3
一折	yi4'zhe2
一抹	yi4'mo3
一撇	yi4'pie3
一操	yi4'cao1
一晃	yi2'huang4
一晃	yi4'huang3
一更	yi4'geng1
一朝	yi4'zhao1
一沤	yi2'ou4
一溜	yi2'liu4
一片	yi2'pian4
一着	yi4'zhao1
一着	yi4'zhuo2
一种	yi4'zhong3
一秘	yi2'mi4
一答	yi4'da2
一脉	yi2'mai4
一般	yi4'ban1
一落	yi2'luo4
一行	yi2'xing4
一行	yi4'hang2
一行	yi4'xing2
一角	yi4'jiao3
一角	yi4'jue2
一趟	yi2'tang4
一辙	yi2'che4
一辙	yi4'zhe2
一边	yi4'bian1
一通	yi2'tong4
丁丁	zheng1'zheng1
丁倒	ding1'dao3
丁宁	ding1'ning2
丁差	ding1'chai1
丁彊	ding1'qiang2
丁当	ding1'dang4
七夕	qi1'xi4
七煞	qi1'sha4
万乘	wan4'sheng4
万俟	mo4'qi2
万几	wan4'ji1
万分	wan4'fen1
万卷	wan4'juan4
万壑	wan4'huo4
万宁	wan4'ning2
万恶	wan4'e4
万把	wan4'ba5
万盛	wan4'sheng4
万种	wan4'zhong3
万载	wan4'zai4
万重	wan4'chong2
丈人	zhang4'ren2
丈人	zhang4'ren5
丈夫	zhang4'fu1
丈夫	zhang4'fu5
丈量	zhang4'liang2
三乐	san1'le4
